url,brand,type,name
http://product.m.360che.com/s0/64_66_index.html,一汽解放,解放J6P 牵引车,解放J6P
http://product.m.360che.com/s0/98_66_index.html,沃尔沃,沃尔沃FH16 牵引车,沃尔沃FH16
http://product.m.360che.com/s15/3943_66_index.html,重汽豪沃(HOWO),HOWO T7H 牵引车,HOWO T7H
http://product.m.360che.com/s26/6539_66_index.html,青岛解放,解放JH6 牵引车,解放JH6
http://product.m.360che.com/s0/23_66_index.html,东风商用车,东风天龙 牵引车,东风天龙
http://product.m.360che.com/s15/3997_64_index.html,一汽解放,解放J6L 载货车,解放J6L
http://product.m.360che.com/s0/22_64_index.html,东风商用车,东风天锦 载货车,东风天锦
http://product.m.360che.com/s16/4140_64_index.html,江淮格尔发,格尔发K5 载货车,格尔发K5
http://product.m.360che.com/s11/2915_66_index.html,福田欧曼,欧曼GTL 牵引车,欧曼GTL
http://product.m.360che.com/s25/6495_66_index.html,沃尔沃,沃尔沃新FH 牵引车,沃尔沃新FH
http://product.m.360che.com/s13/3358_64_index.html,重汽豪沃(HOWO),HOWO T5G 载货车,HOWO T5G
http://product.m.360che.com/s16/4086_66_index.html,陕汽重卡,德龙X3000 牵引车,德龙X3000
http://product.m.360che.com/s0/54_64_index.html,东风柳汽,乘龙M3 载货车,乘龙M3
http://product.m.360che.com/s0/82_66_index.html,奔驰,奔驰Actros 牵引车,奔驰Actros
http://product.m.360che.com/s16/4146_66_index.html,四川现代,创虎Xcient 牵引车,创虎Xcient
http://product.m.360che.com/s0/23_64_index.html,东风商用车,东风天龙 载货车,东风天龙
http://product.m.360che.com/s14/3628_64_index.html,江铃汽车,凯锐800 载货车,凯锐800
http://product.m.360che.com/s15/3980_66_index.html,重汽汕德卡,SITRAK C7H  牵引车,SITRAK C7H 
http://product.m.360che.com/s11/2915_64_index.html,福田欧曼,欧曼GTL 载货车,欧曼GTL
http://product.m.360che.com/s0/94_66_index.html,斯堪尼亚,斯堪尼亚 R系列 牵引车,斯堪尼亚 R系列
http://product.m.360che.com/s16/4140_66_index.html,江淮格尔发,格尔发K5 牵引车,格尔发K5
http://product.m.360che.com/s26/6607_66_index.html,东风柳汽,乘龙H7 牵引车,乘龙H7
