url,brand,type,name
w.auto.qq.com/car_serial/1545/,AC Schnitzer,AC Schnitzer,AC Schnitzer M3
w.auto.qq.com/car_serial/1546/,AC Schnitzer,AC Schnitzer,AC Schnitzer X5
w.auto.qq.com/car_serial/920/,奥迪,进口奥迪,奥迪SQ5
w.auto.qq.com/car_serial/1439/,奥迪,进口奥迪,奥迪Q6
w.auto.qq.com/car_serial/1592/,奥迪,进口奥迪,奥迪Q2
w.auto.qq.com/car_serial/1765/,奥迪,进口奥迪,奥迪Q8
w.auto.qq.com/car_serial/566/,奥迪,进口奥迪,奥迪A1
w.auto.qq.com/car_serial/965/,奥迪,进口奥迪,奥迪S4
w.auto.qq.com/car_serial/213/,奥迪,进口奥迪,奥迪A3(进口)
w.auto.qq.com/car_serial/1329/,奥迪,进口奥迪,奥迪S3
w.auto.qq.com/car_serial/214/,奥迪,进口奥迪,奥迪A4 Allroad
w.auto.qq.com/car_serial/463/,奥迪,进口奥迪,奥迪S5
w.auto.qq.com/car_serial/215/,奥迪,进口奥迪,奥迪A5
w.auto.qq.com/car_serial/216/,奥迪,进口奥迪,奥迪A6(进口)
w.auto.qq.com/car_serial/969/,奥迪,进口奥迪,奥迪S6
w.auto.qq.com/car_serial/212/,奥迪,进口奥迪,奥迪A6 Allroad
w.auto.qq.com/car_serial/569/,奥迪,进口奥迪,奥迪A7
w.auto.qq.com/car_serial/970/,奥迪,进口奥迪,奥迪S7
w.auto.qq.com/car_serial/546/,奥迪,进口奥迪,奥迪A8L
w.auto.qq.com/car_serial/971/,奥迪,进口奥迪,奥迪S8
w.auto.qq.com/car_serial/220/,奥迪,进口奥迪,奥迪TT
w.auto.qq.com/car_serial/219/,奥迪,进口奥迪,奥迪R8
w.auto.qq.com/car_serial/972/,奥迪,进口奥迪,奥迪TTS
w.auto.qq.com/car_serial/852/,奥迪,进口奥迪,奥迪Q3(进口)
w.auto.qq.com/car_serial/462/,奥迪,进口奥迪,奥迪Q5(进口)
w.auto.qq.com/car_serial/218/,奥迪,进口奥迪,奥迪Q7
w.auto.qq.com/car_serial/217/,奥迪,进口奥迪,奥迪A8
w.auto.qq.com/car_serial/1206/,奥迪,奥迪Sport,奥迪RS7
w.auto.qq.com/car_serial/1590/,奥迪,奥迪Sport,奥迪RS Q3
w.auto.qq.com/car_serial/1683/,奥迪,奥迪Sport,奥迪RS6
w.auto.qq.com/car_serial/968/,奥迪,奥迪Sport,奥迪RS3
w.auto.qq.com/car_serial/1684/,奥迪,奥迪Sport,奥迪TT RS
w.auto.qq.com/car_serial/967/,奥迪,奥迪Sport,奥迪RS4
w.auto.qq.com/car_serial/966/,奥迪,奥迪Sport,奥迪RS5
w.auto.qq.com/car_serial/1099/,奥迪,一汽-大众奥迪,奥迪A3
w.auto.qq.com/car_serial/182/,奥迪,一汽-大众奥迪,奥迪A4
w.auto.qq.com/car_serial/509/,奥迪,一汽-大众奥迪,奥迪A4L
w.auto.qq.com/car_serial/183/,奥迪,一汽-大众奥迪,奥迪A6
w.auto.qq.com/car_serial/184/,奥迪,一汽-大众奥迪,奥迪A6L
w.auto.qq.com/car_serial/997/,奥迪,一汽-大众奥迪,奥迪Q3
w.auto.qq.com/car_serial/733/,奥迪,一汽-大众奥迪,奥迪Q5
w.auto.qq.com/car_serial/1263/,阿斯顿·马丁,阿斯顿·马丁,拉共达Taraf
w.auto.qq.com/car_serial/1633/,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11
w.auto.qq.com/car_serial/1029/,阿斯顿·马丁,阿斯顿·马丁,Cygnet
w.auto.qq.com/car_serial/448/,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB9
w.auto.qq.com/car_serial/449/,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS
w.auto.qq.com/car_serial/574/,阿斯顿·马丁,阿斯顿·马丁,ONE-77
w.auto.qq.com/car_serial/728/,阿斯顿·马丁,阿斯顿·马丁,Rapide
w.auto.qq.com/car_serial/1009/,阿斯顿·马丁,阿斯顿·马丁,Vanquish
w.auto.qq.com/car_serial/469/,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage
w.auto.qq.com/car_serial/832/,阿斯顿·马丁,阿斯顿·马丁,Virage
w.auto.qq.com/car_serial/552/,阿斯顿·马丁,阿斯顿·马丁,V12 Vantage
w.auto.qq.com/car_serial/1112/,阿斯顿·马丁,阿斯顿·马丁,V12 Zagato
w.auto.qq.com/car_serial/1736/,阿尔法罗密欧,阿尔法罗密欧,Giulia
w.auto.qq.com/car_serial/1798/,阿尔法罗密欧,阿尔法罗密欧,Stelvio
w.auto.qq.com/car_serial/571/,阿尔法罗密欧,阿尔法罗密欧,ALFA 159
w.auto.qq.com/car_serial/572/,阿尔法罗密欧,阿尔法罗密欧,ALFA 8C
w.auto.qq.com/car_serial/835/,阿尔法罗密欧,阿尔法罗密欧,Giulietta 
w.auto.qq.com/car_serial/1393/,北汽新能源,北汽新能源,EV系列
w.auto.qq.com/car_serial/1394/,北汽新能源,北汽新能源,北汽新能源ES210
w.auto.qq.com/car_serial/1554/,北汽新能源,北汽新能源,EU系列
w.auto.qq.com/car_serial/1624/,北汽新能源,北汽新能源,EX系列
w.auto.qq.com/car_serial/1654/,北汽新能源,北汽新能源,ARCFOX-7
w.auto.qq.com/car_serial/1752/,北汽新能源,北汽新能源,EC系列
w.auto.qq.com/car_serial/1527/,宝沃,宝沃汽车,宝沃BX7
w.auto.qq.com/car_serial/1588/,宝沃,宝沃汽车,宝沃BX5
w.auto.qq.com/car_serial/1589/,宝沃,宝沃汽车,宝沃BX6
