url,brand,type,name
a.xcar.com.cn/1617/,阿斯顿·马丁,,Vanquish 
a.xcar.com.cn/62/,一汽大众,,速腾
a.xcar.com.cn/968/,阿斯顿·马丁,,Rapide
a.xcar.com.cn/517/,阿斯顿·马丁,,V8 Vantage
a.xcar.com.cn/343/,阿斯顿·马丁,,DB9
a.xcar.com.cn/3185/,阿斯顿·马丁,,DB11
a.xcar.com.cn/938/,阿斯顿·马丁,,V12 Vantage
a.xcar.com.cn/3481/,奥迪RS,,奥迪RS Q5
a.xcar.com.cn/1625/,奥迪RS,,奥迪RS6
a.xcar.com.cn/1624/,奥迪RS,,奥迪RS3
a.xcar.com.cn/1521/,奥迪RS,,奥迪RS5
a.xcar.com.cn/2862/,奥迪(进口),,奥迪Q7 e-tron
a.xcar.com.cn/3/,奥迪(进口),,奥迪TT双门
a.xcar.com.cn/1440/,奥迪(进口),,奥迪TT敞篷
a.xcar.com.cn/1287/,奥迪(进口),,奥迪Q3(进口)
a.xcar.com.cn/1359/,斯巴鲁,,翼豹三厢
a.xcar.com.cn/2429/,华晨宝马,,之诺1E
a.xcar.com.cn/3460/,浙江卡尔森,,卡升C7
a.xcar.com.cn/3459/,浙江卡尔森,,卡升C10
a.xcar.com.cn/3321/,华晨宝马,,之诺60H
a.xcar.com.cn/2988/,知豆电动车,,知豆D2
a.xcar.com.cn/2755/,广汽中兴,,广汽中兴GX3
a.xcar.com.cn/2987/,知豆电动车,,知豆D1
a.xcar.com.cn/2010/,广汽中兴,,广汽中兴C3
a.xcar.com.cn/1210/,中兴汽车,,无限V5
a.xcar.com.cn/1495/,中兴汽车,,威虎海外版
a.xcar.com.cn/1825/,奥迪RS,,奥迪RS7
a.xcar.com.cn/1211/,中兴汽车,,威虎F1
a.xcar.com.cn/1209/,中兴汽车,,昌铃
a.xcar.com.cn/3003/,中兴汽车,,小老虎
a.xcar.com.cn/2986/,知豆电动车,,知豆
a.xcar.com.cn/2378/,中兴汽车,,威虎TUV
a.xcar.com.cn/1208/,中兴汽车,,旗舰A9
a.xcar.com.cn/1204/,中兴汽车,,无限
a.xcar.com.cn/1084/,中华,,中华骏捷FSV
a.xcar.com.cn/3336/,中兴汽车,,领主
a.xcar.com.cn/298/,中华,,中华骏捷FRV
a.xcar.com.cn/684/,中华,,中华骏捷CROSS
a.xcar.com.cn/2942/,中华,,中华EV
a.xcar.com.cn/2085/,中华,,中华C3
a.xcar.com.cn/2346/,中兴汽车,,无限V7
a.xcar.com.cn/3271/,中华,,中华V3 EV
a.xcar.com.cn/2684/,中华,,中华豚
a.xcar.com.cn/2896/,中华,,中华V3
a.xcar.com.cn/296/,中华,,中华骏捷
a.xcar.com.cn/299/,中华,,中华尊驰
a.xcar.com.cn/1295/,中华,,中华H530
a.xcar.com.cn/1283/,中华,,中华V5
a.xcar.com.cn/1646/,中华,,中华H320
a.xcar.com.cn/3088/,中华,,中华H3
a.xcar.com.cn/1767/,中华,,中华H330
a.xcar.com.cn/428/,中华,,中华骏捷Wagon
a.xcar.com.cn/1203/,中兴汽车,,威虎G3
a.xcar.com.cn/3272/,中华,,中华H230 EV
a.xcar.com.cn/1507/,中华,,中华H230
a.xcar.com.cn/2070/,中华,,中华H220
a.xcar.com.cn/328/,众泰汽车,,众泰5008
a.xcar.com.cn/1313/,众泰汽车,,众泰T300
a.xcar.com.cn/3173/,众泰汽车,,众泰T700
a.xcar.com.cn/3316/,众泰汽车,,众泰SR7电动车
a.xcar.com.cn/2837/,众泰汽车,,众泰Z700
a.xcar.com.cn/2645/,众泰汽车,,众泰云100
a.xcar.com.cn/2914/,众泰汽车,,众泰大迈X5
