TYPE,IP,DEGREE_OF_ANONYMITY,LAST_CHECK_TIME,GET_POST,POSITION,SPEED,PORT
HTTP,118.26.183.215,高匿名,2017-05-19 10:35:14,,中国 北京市 北京市,1,8080
HTTP,117.90.0.111,高匿名,2017-05-19 09:35:09,,中国 江苏省 镇江市 电信,1,9000
HTTP,115.153.108.226,高匿名,2017-05-19 08:35:00,,中国 江西省 宜春市 电信,3,8998
HTTP,183.27.251.146,高匿名,2017-05-19 07:35:00,,中国 广东省 佛山市 电信,3,8081
HTTP,121.232.147.197,高匿名,2017-05-19 06:35:03,,中国 江苏省 镇江市 电信,1,9000
HTTP,114.99.7.97,高匿名,2017-05-19 05:35:11,,中国 安徽省 铜陵市 电信,3,9000
HTTP,210.76.163.216,高匿名,2017-05-19 04:35:05,,中国 辽宁省 大连市,1,8118
HTTP,119.85.181.247,高匿名,2017-05-19 03:35:10,,中国 重庆市 重庆市 电信,2,8998
HTTP,120.37.216.167,高匿名,2017-05-19 02:34:43,,中国 福建省 莆田市 电信,1,808
HTTP,118.26.183.215,高匿名,2017-05-19 01:34:56,,中国 北京市 北京市,2,8080
HTTP,112.17.14.89,高匿名,2017-05-19 00:34:56,,中国 浙江省  移动,3,80
HTTP,121.232.147.169,高匿名,2017-05-18 23:34:49,,中国 江苏省 镇江市 电信,3,9000
HTTP,118.26.183.215,高匿名,2017-05-18 22:35:08,,中国 北京市 北京市,2,8080
HTTP,121.232.145.131,高匿名,2017-05-18 21:35:04,,中国 江苏省 镇江市 电信,2,9000
HTTP,182.141.46.93,高匿名,2017-05-18 20:34:54,,中国 四川省 遂宁市 电信,1,9000
TYPE,IP,DEGREE_OF_ANONYMITY,LAST_CHECK_TIME,GET_POST,POSITION,SPEED,PORT
HTTP,117.90.1.10,高匿名,2017-04-10 01:35:25,,中国 江苏省 镇江市 电信,2,9000
HTTP,121.232.144.39,高匿名,2017-04-10 00:35:30,,中国 江苏省 镇江市 电信,2,9000
HTTP,117.90.6.16,高匿名,2017-04-09 23:35:18,,中国 江苏省 镇江市 电信,3,9000
HTTP,114.97.220.240,高匿名,2017-04-09 22:35:29,,中国 安徽省 合肥市 电信,1,808
HTTP,157.122.114.151,高匿名,2017-04-09 21:35:24,,广东省惠州市 联通,2,9000
HTTP,27.19.168.186,高匿名,2017-04-09 20:35:25,,中国 湖北省 武汉市 电信,2,8998
HTTP,117.171.23.184,高匿名,2017-04-09 19:35:15,,中国 江西省 上饶市 移动,2,8123
HTTP,182.129.240.150,高匿名,2017-04-09 18:35:22,,中国 四川省 遂宁市 电信,1,9000
HTTP,220.185.39.212,高匿名,2017-04-09 17:35:26,,中国 浙江省 衢州市 电信,1,8998
HTTP,117.90.1.19,高匿名,2017-04-09 16:35:25,,中国 江苏省 镇江市 电信,0.4,9000
HTTP,117.90.1.37,高匿名,2017-04-09 15:35:16,,中国 江苏省 镇江市 电信,2,9000
HTTP,117.90.4.6,高匿名,2017-04-09 14:35:18,,中国 江苏省 镇江市 电信,0.6,9000
HTTP,180.167.34.187,高匿名,2017-04-09 13:35:19,,中国 上海市 上海市 电信,1,8080
HTTP,121.232.148.37,高匿名,2017-04-09 12:35:10,,中国 江苏省 镇江市 电信,1,9000
HTTP,222.210.53.46,高匿名,2017-04-09 11:35:22,,中国 四川省 成都市 电信,1,8998
HTTP,121.232.145.207,高匿名,2017-03-19 04:36:12,,中国 江苏省 镇江市 电信,1,9000
HTTP,121.232.146.113,高匿名,2017-03-19 03:36:19,,中国 江苏省 镇江市 电信,3,9000
HTTP,121.232.145.236,高匿名,2017-03-19 02:36:10,,中国 江苏省 镇江市 电信,1,9000
HTTP,49.115.207.3,高匿名,2017-03-19 01:36:05,,中国 新疆维吾尔自治区 伊犁哈萨克自治州 电信,1,8998
HTTP,117.175.183.10,高匿名,2017-03-19 00:36:18,,中国 四川省 成都市 移动,3,3281
HTTP,61.164.246.130,高匿名,2017-03-18 23:36:11,,中国 浙江省 丽水市 电信,1,137
HTTP,121.232.144.35,高匿名,2017-03-18 22:36:12,,中国 江苏省 镇江市 电信,1,9000
HTTP,121.232.145.244,高匿名,2017-03-18 21:36:16,,中国 江苏省 镇江市 电信,0.8,9000
HTTP,121.232.144.174,高匿名,2017-03-18 20:36:11,,中国 江苏省 镇江市 电信,1,9000
HTTP,117.90.0.225,高匿名,2017-03-18 19:36:09,,中国 江苏省 镇江市 电信,2,9000
HTTP,101.200.38.16,高匿名,2017-03-18 18:36:14,,中国 北京市 北京市 阿里云,0.9,80
HTTP,123.169.87.77,高匿名,2017-03-18 17:36:14,,中国 山东省 淄博市 电信,1,808
HTTP,14.210.77.213,高匿名,2017-03-18 16:36:07,,中国 广东省 湛江市 电信,0.4,808
HTTP,117.90.7.26,高匿名,2017-03-18 15:35:22,,中国 江苏省 镇江市 电信,3,9000
HTTP,117.90.7.37,高匿名,2017-03-18 14:36:11,,中国 江苏省 镇江市 电信,3,9000
