TYPE,IP,DEGREE_OF_ANONYMITY,LAST_CHECK_TIME,GET_POST,POSITION,SPEED,PORT
HTTP,121.232.147.31,高匿名,37分钟前,"GET, POST",中国 江苏省 镇江市 电信,1,9000
HTTP,121.232.144.157,高匿名,46分钟前,"GET, POST",中国 江苏省 镇江市 电信,2,9000
HTTP,117.90.0.179,高匿名,49分钟前,"GET, POST",中国 江苏省 镇江市 电信,3,9000
HTTP,114.99.11.202,高匿名,55分钟前,"GET, POST",中国 安徽省 铜陵市 电信,0.8,9000
HTTP,121.232.147.9,高匿名,58分钟前,"GET, POST",中国 江苏省 镇江市 电信,1,9000
HTTP,117.90.6.99,高匿名,4分钟前,"GET, POST",中国 江苏省 镇江市 电信,1,9000
HTTP,117.90.5.33,高匿名,7分钟前,"GET, POST",中国 江苏省 镇江市 电信,3,9000
HTTP,121.232.144.77,高匿名,16分钟前,"GET, POST",中国 江苏省 镇江市 电信,3,9000
HTTP,121.232.144.70,高匿名,19分钟前,"GET, POST",中国 江苏省 镇江市 电信,2,9000
HTTP,121.232.148.129,高匿名,22分钟前,"GET, POST",中国 江苏省 镇江市 电信,1,9000
HTTP,117.90.6.205,高匿名,25分钟前,"GET, POST",中国 江苏省 镇江市 电信,0.8,9000
HTTP,121.232.145.89,高匿名,1小时前,"GET, POST",中国 江苏省 镇江市 电信,2,9000
HTTP,124.206.119.123,透明,1小时前,"GET, POST",中国 北京市 北京市 鹏博士,2,3128
HTTP,121.232.146.160,高匿名,1小时前,"GET, POST",中国 江苏省 镇江市 电信,3,9000
HTTP,121.232.147.162,高匿名,1小时前,"GET, POST",中国 江苏省 镇江市 电信,2,9000
HTTP,60.185.132.4,高匿名,1小时前,"GET, POST",中国 浙江省 舟山市 电信,1,9000
HTTP,60.178.168.91,高匿名,1小时前,"GET, POST",中国 浙江省 宁波市 电信,3,8081
HTTP,121.232.144.4,高匿名,1小时前,"GET, POST",中国 江苏省 镇江市 电信,3,9000
HTTP,121.232.145.175,高匿名,2小时前,"GET, POST",中国 江苏省 镇江市 电信,1,9000
HTTP,121.232.144.99,高匿名,2小时前,"GET, POST",中国 江苏省 镇江市 电信,0.4,9000
HTTP,121.232.147.58,高匿名,2小时前,"GET, POST",中国 江苏省 镇江市 电信,0.9,9000
HTTP,60.178.136.175,高匿名,2小时前,"GET, POST",中国 浙江省 宁波市 电信,1,8081
HTTP,121.232.145.230,高匿名,2小时前,"GET, POST",中国 江苏省 镇江市 电信,2,9000
HTTP,121.232.148.238,高匿名,2小时前,"GET, POST",中国 江苏省 镇江市 电信,2,9000
HTTP,117.90.7.129,高匿名,2小时前,"GET, POST",中国 江苏省 镇江市 电信,1,9000
