http://m.chinatruck.org/video/41483.html,[2013上海车展]东风商用车吴怀主详解天龙旗舰新品,,[2013上海车展]东风商用车吴怀主详解天龙旗舰新品
http://m.chinatruck.org/video/44498.html,[2013武汉车展]陕汽,,[2013武汉车展]陕汽 依维柯做客直播间2
http://m.chinatruck.org/video/60741.html,[车辆测评]福田奥铃TX实车测评-中国卡车网,,[车辆测评]福田奥铃TX实车测评-中国卡车网
http://m.chinatruck.org/video/53498.html,[车辆测评]开瑞绿卡S厢式高端轻卡外观,,[车辆测评]开瑞绿卡S厢式高端轻卡外观
http://m.chinatruck.org/video/56785.html,[车辆测评]斯堪尼亚50周年纪念版Streamline,,[车辆测评]斯堪尼亚50周年纪念版Streamline G440 6x2主动安全升级
http://m.chinatruck.org/video/56782.html,[车辆测评]一汽解放青汽虎VH内饰,,[车辆测评]一汽解放青汽虎VH内饰
http://m.chinatruck.org/video/64350.html,24.63L/100km,,24.63L/100km 中国重汽曼技术产品高效节油实况挑战赛首战成都
.auto.qq.com /car_serial/1545/,AC Schnitzer,AC Schnitzer,AC Schnitzer M3
.auto.qq.com /car_serial/1546/,AC Schnitzer,AC Schnitzer,AC Schnitzer X5
car.m.yiche.com /acgaizhuangx5/,AC Schnitzer,AC Schnitzer ACS5,
car.m.yiche.com /acgaizhuangbaoma7xi/,AC Schnitzer,AC Schnitzer ACS7,
car.m.yiche.com /acgaizhuangbaomax6/,AC Schnitzer,AC Schnitzer ACS6,
car.m.yiche.com /acschnitzeracs8/,AC Schnitzer,AC Schnitzer ACS8,
.autohome.com.cn /2097/,AC Schnitzer-,AC Schnitzer X5,
.autohome.com.cn /2148/,AC Schnitzer-,AC Schnitzer 7系,
.autohome.com.cn /2098/,AC Schnitzer-,AC Schnitzer X6,
a.xcar.com.cn /3373/,Alpina,,B4 BITURBO
.autohome.com.cn /4212/,ALPINA-,B4 BITURBO,
.autohome.com.cn /4034/,Arash-,Arash AF10,
car.m.yiche.com /arcfox1/,ARCFOX,ARCFOX-1,
car.m.yiche.com /artegagt/,Artega,Artega GT,
url,brand,type,name
.autohome.com.cn /4008/,Caterham-,Seven,
.autohome.com.cn /2625/,Dacia-,Dacia Duster,
.autohome.com.cn /2626/,Dacia-,Dacia Sandero,
.autohome.com.cn /2703/,Dacia-,Dacia Lodgy,
.autohome.com.cn /2627/,Dacia-,Dacia Logan,
.autohome.com.cn /3354/,DMC-,DMC-12,
.auto.qq.com /car_serial/1259/,DS,长安PSA,DS 6
.auto.qq.com /car_serial/1661/,DS,长安PSA,DS 4S
.auto.qq.com /car_serial/1091/,DS,长安PSA,DS 5
.auto.qq.com /car_serial/1157/,DS,长安PSA,DS 5LS
.auto.qq.com /car_serial/778/,DS,DS,DS 3
.auto.qq.com /car_serial/788/,DS,DS,DS 4
.auto.qq.com /car_serial/854/,DS,DS,DS 5(进口)
car.m.yiche.com /dshighrider/,DS,DS 4(进口),
car.m.yiche.com /ds5/,DS,DS 5(进口),
car.m.yiche.com /ds3haiwai/,DS,DS 3(进口),
a.xcar.com.cn /1231/,DS(进口),,DS 4
a.xcar.com.cn /1285/,DS(进口),,DS 5(进口)
a.xcar.com.cn /646/,DS(进口),,DS 3
a.xcar.com.cn /3462/,Faraday Future,,FF 91
.autohome.com.cn /3995/,Faraday Future-,FFZERO1,
.autohome.com.cn /4285/,Faraday Future-,FF 91,
car.m.yiche.com /evantra/,Faralli Mazzanti,Evantra,
.auto.qq.com /car_serial/1131/,Fisker,Fisker,Karma
.autohome.com.cn /2352/,Fisker-Karma,Karma,
.autohome.com.cn /4214/,GLM-,GLM G4,
.auto.qq.com /car_serial/1336/,GMC,进口GMC,TERRAIN
.auto.qq.com /car_serial/1337/,GMC,进口GMC,SAVANA
.auto.qq.com /car_serial/1339/,GMC,进口GMC,SIERRA
.auto.qq.com /car_serial/1626/,GMC,进口GMC,YUKON
a.xcar.com.cn /1274/,GMC,,GMC3500
a.xcar.com.cn /1241/,GMC,,Savana
a.xcar.com.cn /2314/,GMC,,Sierra
a.xcar.com.cn /2312/,GMC,,Yukon
car.m.yiche.com /gmc-2331/,GMC,GMC(进口),
car.m.yiche.com /acadia/,GMC,Acadia,
car.m.yiche.com /yukon/,GMC,YUKON,
car.m.yiche.com /sierra/,GMC,SIERRA,
.autohome.com.cn /952/,GMC-,ACADIA,
.autohome.com.cn /2355/,GMC-,SIERRA,
.autohome.com.cn /3345/,GMC-,CANYON,
.autohome.com.cn /955/,GMC-,TERRAIN,
.autohome.com.cn /980/,GMC-,SAVANA,
car.m.yiche.com /spano/,GTA,Spano,
.autohome.com.cn /2082/,Gumpert-Apollo,Apollo,
.autohome.com.cn /2873/,Hennessey-,Venom GT,
.autohome.com.cn /3148/,Hennessey-,VelociRaptor,
.auto.qq.com /car_serial/1542/,Jeep,广汽菲克Jeep,自由光
.auto.qq.com /car_serial/1609/,Jeep,广汽菲克Jeep,自由侠
.auto.qq.com /car_serial/1760/,Jeep,广汽菲克Jeep,指南者
.auto.qq.com /car_serial/1242/,Jeep,Jeep,自由侠
.auto.qq.com /car_serial/284/,Jeep,Jeep,大切诺基(进口)
.auto.qq.com /car_serial/285/,Jeep,Jeep,牧马人
.auto.qq.com /car_serial/286/,Jeep,Jeep,指挥官
.auto.qq.com /car_serial/287/,Jeep,Jeep,指南者
.auto.qq.com /car_serial/1037/,Jeep,Jeep,自由光（进口）
.auto.qq.com /car_serial/570/,Jeep,Jeep,自由客
a.xcar.com.cn /308/,Jeep,,指南者(进口)
a.xcar.com.cn /735/,Jeep,,自由客
a.xcar.com.cn /306/,Jeep,,牧马人
a.xcar.com.cn /1884/,Jeep,,自由光(进口)
a.xcar.com.cn /307/,Jeep,,大切诺基(进口)
a.xcar.com.cn /2345/,Jeep,,大切诺基 SRT
car.m.yiche.com /ziyouguang/,Jeep,自由光(进口),
car.m.yiche.com /jipuziyouren/,Jeep,自由人(进口),
car.m.yiche.com /qienuoji-3000/,Jeep,切诺基(进口),
car.m.yiche.com /jipuzhihuiguan/,Jeep,指挥官(进口),
car.m.yiche.com /jipudaqienuoji/,Jeep,大切诺基(进口),
car.m.yiche.com /jipupatriot/,Jeep,自由客,
car.m.yiche.com /jipuzhinanzhe/,Jeep,指南者(进口),
car.m.yiche.com /jipumumaren/,Jeep,牧马人,
.autohome.com.cn /3321/,Jeep(进口)-,自由侠(海外),
.autohome.com.cn /2813/,Jeep(进口)-,Jeep J12,
.autohome.com.cn /263/,Jeep(进口)-,自由人,
.autohome.com.cn /504/,Jeep(进口)-,指南者(进口),
.autohome.com.cn /777/,Jeep(进口)-,自由客,
.autohome.com.cn /121/,Jeep(进口)-,牧马人,
.autohome.com.cn /3062/,Jeep(进口)-,自由光(进口),
.autohome.com.cn /521/,Jeep(进口)-,大切诺基(进口),
.autohome.com.cn /2026/,Jeep(进口)-切诺基(进口),切诺基(进口),
.autohome.com.cn /503/,Jeep(进口)-指挥官,指挥官,
.auto.qq.com /car_serial/1156/,KTM,进口KTM,X-BOW
a.xcar.com.cn /2024/,KTM,,X-BOW
car.m.yiche.com /xbow/,KTM,X-BOW,
.autohome.com.cn /911/,KTM-,X-BOW,
car.m.yiche.com /lesee-4822/,LeSEE,LeSEE,
.auto.qq.com /car_serial/1512/,LOCAL MOTORS,LOCAL MOTORS,RALLY FIGHTER
a.xcar.com.cn /3457/,Lucid Motors,,Lucid Air
.autohome.com.cn /4221/,LYNK&CO-,LYNK&CO CX11,
.autohome.com.cn /4224/,LYNK&CO-,01概念车,
.auto.qq.com /car_serial/1208/,MG,上汽集团-MG,锐行
.auto.qq.com /car_serial/1416/,MG,上汽集团-MG,锐腾
.auto.qq.com /car_serial/1737/,MG,上汽集团-MG,名爵ZS
.auto.qq.com /car_serial/837/,MG,上汽集团-MG,MG3
.auto.qq.com /car_serial/437/,MG,上汽集团-MG,MG 3SW
.auto.qq.com /car_serial/940/,MG,上汽集团-MG,MG5
.auto.qq.com /car_serial/704/,MG,上汽集团-MG,MG6
.auto.qq.com /car_serial/398/,MG,上汽集团-MG,MG7
.auto.qq.com /car_serial/400/,MG,上汽集团-MG,MG TF
a.xcar.com.cn /1435/,MG,,MG3 Xross
a.xcar.com.cn /138/,MG,,MG7
a.xcar.com.cn /1365/,MG,,MG6三厢
a.xcar.com.cn /2635/,MG,,名爵锐行
a.xcar.com.cn /2793/,MG,,名爵锐腾
a.xcar.com.cn /1263/,MG,,MG3
a.xcar.com.cn /698/,MG,,MG6掀背
a.xcar.com.cn /3409/,MG,,名爵ZS
a.xcar.com.cn /706/,MG,,MG5
car.m.yiche.com /mgzs/,MG,MG ZS,
car.m.yiche.com /mg5/,MG,MG 5,
car.m.yiche.com /mingjuetf/,MG,MG TF,
car.m.yiche.com /mg6saloon/,MG,MG 6三厢,
car.m.yiche.com /mingjue7xi/,MG,MG 7,
car.m.yiche.com /cs/,MG,名爵锐腾,
car.m.yiche.com /mgmingjue3sw/,MG,MG 3SW,
car.m.yiche.com /mingjuemg6/,MG,MG 6两厢,
car.m.yiche.com /mggt/,MG,名爵锐行,
car.m.yiche.com /mgzp11/,MG,MG 3,
.auto.qq.com /car_serial/338/,MINI,MINI,MINI
.auto.qq.com /car_serial/881/,MINI,MINI,MINI CABRIO
.auto.qq.com /car_serial/694/,MINI,MINI,MINI CLUBMAN
.auto.qq.com /car_serial/727/,MINI,MINI,MINI COUNTRYMAN
.auto.qq.com /car_serial/867/,MINI,MINI,MINI COUPE
.auto.qq.com /car_serial/884/,MINI,MINI,MINI PACEMAN
.auto.qq.com /car_serial/885/,MINI,MINI,MINI ROADSTER
.auto.qq.com /car_serial/1305/,MINI,MINI JCW,MINI JCW
.auto.qq.com /car_serial/1306/,MINI,MINI JCW,MINI JCW CLUBMAN
.auto.qq.com /car_serial/1307/,MINI,MINI JCW,MINI JCW COUNTRYMAN
.auto.qq.com /car_serial/1308/,MINI,MINI JCW,MINI JCW PACEMAN
.auto.qq.com /car_serial/1309/,MINI,MINI JCW,MINI JCW COUPE
a.xcar.com.cn /1343/,MINI,,MINI ROADSTER
a.xcar.com.cn /1776/,MINI,,MINI PACEMAN
